EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-8.049,1.075,-3.996,-6.724,-6.405,-5.401,-12.162,-9.852,-0.019,0.939,-0.381,1.404,1.984,-0.671,60.000,266062.000,1.000
-0.868,-7.663,-2.020,5.518,2.853,0.995,2.700,-1.632,-0.019,0.936,-0.380,1.404,2.106,-0.671,60.000,266063.000,1.000
2.829,-3.759,3.468,12.117,9.321,7.872,11.514,6.711,-0.019,0.936,-0.378,1.404,2.106,-0.519,60.000,266064.000,1.000
-3.901,7.474,4.045,4.158,4.762,7.237,5.688,7.381,-0.019,0.936,-0.382,1.312,2.075,-0.458,60.000,266065.000,1.000
-14.758,9.637,-3.111,-8.515,-4.788,0.856,-3.910,1.938,-0.018,0.936,-0.385,1.312,2.106,-0.458,60.000,266066.000,1.000
-18.762,-2.161,-11.150,-10.846,-7.320,-2.140,-2.246,-1.191,-0.017,0.937,-0.380,1.312,2.289,-0.427,60.000,266067.000,1.000
-14.612,-14.003,-12.189,-2.559,-0.800,2.608,9.491,2.177,-0.017,0.936,-0.380,1.282,2.319,-0.366,60.000,266068.000,1.000
-11.346,-11.487,-7.088,2.644,4.951,9.335,16.326,7.241,-0.017,0.937,-0.379,1.251,2.380,-0.336,60.000,266069.000,1.000
-15.065,1.128,-3.433,-3.084,2.512,10.565,10.901,7.814,-0.017,0.937,-0.382,1.160,2.533,-0.275,60.000,266070.000,1.000
-20.475,6.976,-4.986,-10.729,-2.859,7.260,3.757,5.198,-0.017,0.935,-0.384,1.251,2.655,-0.244,60.000,266071.000,1.000
-18.788,-0.623,-7.158,-7.471,-1.167,6.691,8.142,5.903,-0.015,0.935,-0.382,1.282,2.747,-0.183,60.000,266072.000,1.000
-10.689,-9.868,-4.485,4.500,7.414,11.270,20.560,11.559,-0.015,0.934,-0.383,1.251,2.686,-0.153,60.000,266073.000,1.000
-6.160,-7.720,0.679,9.883,11.738,14.248,24.446,15.464,-0.016,0.935,-0.382,1.221,2.838,-0.183,60.000,266074.000,1.000
-11.056,1.627,0.814,0.808,4.585,8.663,12.436,11.136,-0.015,0.935,-0.381,1.221,2.808,-0.031,60.000,266075.000,1.000
-18.808,2.766,-6.209,-12.157,-7.215,-2.691,-3.321,1.287,-0.016,0.936,-0.379,1.221,2.869,0.061,60.000,266076.000,1.000
-18.860,-8.852,-13.399,-13.876,-11.517,-10.183,-7.140,-5.248,-0.016,0.935,-0.383,1.251,2.930,0.000,60.000,266077.000,1.000
-10.531,-19.569,-13.226,-4.557,-6.585,-9.381,-0.219,-4.661,-0.014,0.934,-0.382,1.221,3.021,0.000,60.000,266078.000,1.000
-3.477,-15.580,-7.139,1.344,-2.521,-6.102,2.204,-2.471,-0.014,0.934,-0.381,1.251,3.052,0.000,60.000,266079.000,1.000
-4.218,-1.732,-3.138,-4.508,-6.762,-7.823,-7.403,-5.362,-0.012,0.935,-0.383,1.251,3.235,-0.031,60.000,266080.000,1.000
-7.414,4.939,-4.777,-12.830,-13.717,-13.337,-18.342,-11.818,-0.014,0.935,-0.385,1.282,3.357,-0.031,60.000,266081.000,1.000
-3.874,-1.773,-6.650,-9.826,-12.668,-14.677,-16.633,-14.256,-0.015,0.933,-0.385,1.312,3.357,-0.061,60.000,266082.000,1.000
6.116,-9.063,-2.269,3.499,-2.718,-8.319,-4.442,-9.448,-0.015,0.933,-0.387,1.251,3.448,-0.122,60.000,266083.000,1.000
12.722,-3.097,6.597,12.563,5.847,-0.167,2.872,-2.855,-0.015,0.933,-0.383,1.373,3.632,-0.092,60.000,266084.000,1.000
9.655,11.401,11.784,8.990,5.351,2.272,-2.262,-1.223,-0.016,0.934,-0.383,1.404,3.601,-0.214,60.000,266085.000,1.000
2.434,17.148,9.293,1.583,0.640,-0.255,-9.595,-3.733,-0.014,0.932,-0.381,1.312,3.571,-0.214,60.000,266086.000,1.000
0.705,7.893,4.344,3.659,1.779,-0.221,-5.555,-3.615,-0.014,0.934,-0.382,1.343,3.693,-0.183,60.000,266087.000,1.000
5.051,-3.067,3.993,14.298,9.714,5.922,7.692,2.059,-0.013,0.935,-0.383,1.190,3.784,-0.305,60.000,266088.000,1.000
6.288,-1.424,7.320,19.303,14.537,12.374,14.797,7.872,-0.014,0.935,-0.385,1.221,3.784,-0.275,60.000,266089.000,1.000
-1.603,8.392,6.861,10.708,8.940,11.625,8.032,7.259,-0.016,0.936,-0.385,1.282,3.815,-0.305,60.000,266090.000,1.000
-12.711,9.625,-0.622,-1.963,-1.575,4.721,-2.225,1.626,-0.017,0.937,-0.385,1.221,3.937,-0.336,60.000,266091.000,1.000
-17.006,-3.489,-9.295,-4.531,-6.099,-0.242,-1.979,-1.491,-0.017,0.935,-0.381,1.129,3.906,-0.366,60.000,266092.000,1.000
-13.990,-17.692,-12.156,2.477,-3.212,0.693,6.981,1.196,-0.017,0.933,-0.382,1.129,3.845,-0.305,60.000,266093.000,1.000
-13.091,-18.712,-10.463,4.902,-2.460,2.259,9.908,4.372,-0.017,0.933,-0.383,1.160,3.906,-0.427,60.000,266094.000,1.000
-20.222,-10.373,-11.560,-5.006,-10.357,-1.982,0.202,1.841,-0.017,0.932,-0.384,1.190,3.815,-0.641,60.000,266095.000,1.000
-29.122,-8.538,-18.184,-17.362,-20.513,-9.892,-10.692,-4.479,-0.015,0.932,-0.385,1.068,3.998,-0.671,60.000,266096.000,1.000
-29.595,-18.546,-24.184,-17.950,-21.871,-13.129,-8.610,-6.922,-0.015,0.936,-0.384,1.099,3.906,-0.671,60.000,266097.000,1.000
-21.521,-27.705,-22.871,-7.886,-13.988,-8.686,3.622,-2.766,-0.015,0.937,-0.384,1.007,3.876,-0.610,60.000,266098.000,1.000
-15.285,-23.254,-16.498,-2.361,-8.176,-3.530,9.445,1.613,-0.016,0.936,-0.385,1.068,3.906,-0.549,60.000,266099.000,1.000
-17.928,-10.698,-13.553,-9.968,-12.588,-5.577,0.718,-0.844,-0.015,0.936,-0.382,1.068,3.754,-0.641,60.000,266100.000,1.000
-23.983,-6.841,-17.406,-21.082,-21.515,-13.182,-11.539,-8.350,-0.015,0.935,-0.382,1.007,3.723,-0.702,60.000,266101.000,1.000
-23.263,-16.791,-21.796,-21.160,-23.383,-17.461,-12.399,-12.609,-0.015,0.936,-0.384,0.977,3.693,-0.671,60.000,266102.000,1.000
